"track_popularity","number_of_tracks"
"99","2"
"98","1"
"97","1"
"96","1"
"95","2"
"94","6"
"93","6"
"92","5"
"91","13"
"90","14"
"89","19"
"88","25"
"87","40"
"86","54"
"85","61"
"84","65"
"83","83"
"82","96"
"81","94"
"80","123"
"79","128"
"78","164"
"77","182"
"76","205"
"75","212"
"74","232"
"73","259"
"72","272"
"71","332"
"70","314"
"69","354"
"68","399"
"67","377"
"66","399"
"65","444"
"64","505"
"63","548"
"62","557"
"61","569"
"60","628"
"59","629"
"58","667"
"57","728"
"56","797"
"55","874"
"54","918"
"53","975"
"52","1065"
"51","1083"
"50","1205"
"49","1173"
"48","1314"
"47","1380"
"46","1423"
"45","1477"
"44","1506"
"43","1682"
"42","1754"
"41","1848"
"40","1831"
"39","1973"
"38","2100"
"37","2148"
"36","2275"
"35","2301"
"34","2411"
"33","2526"
"32","2694"
"31","2682"
"30","2734"
"29","2878"
"28","3068"
"27","2983"
"26","2989"
"25","3291"
"24","3493"
"23","3737"
"22","3684"
"21","4065"
"20","4171"
"19","4308"
"18","4509"
"17","4781"
"16","4968"
"15","5158"
"14","5423"
"13","5733"
"12","5903"
"11","6270"
"10","6533"
"9","6800"
"8","6723"
"7","7778"
"6","9128"
"5","10706"
"4","12415"
"3","15886"
"2","20463"
"1","32201"
"0","172954"
