"album_name","total_tracks"
"Nirvana","988"
"Action","575"
"Exodus","557"
"Future","491"
"Greatest Hits","451"
"Red Velvet","436"
"India","366"
"Blink","336"
"Her","333"
"Bach: St. John Passion","332"
"Bach, J.S.: St. John Passion","281"
"Nursery Rhymes","277"
"Bach, J.S.: St. John Passion, Bwv 245","256"
"Yggdrasil","252"
"Madonna","240"
"Rihanna","240"
"Twice","206"
"The Collection","192"
"Deep Purple","190"
"Prince","188"
"Bach: St. John Passion, Bwv 245","180"
"Michael Jackson","177"
"Kaizen","175"
"Bach: St John Passion","173"
"J.S. Bach: St. John Passion, Bwv 245","170"
"Breezy","164"
"The Fifth","163"
"Bad Bunny","161"
"Sabbath","157"
"Exotica","156"
"Soliloquy","154"
"Purple Noise Fan Sound","150"
"Queen Radio: Volume 1","145"
"Live","144"
"Drake","144"
"Think Twice","138"
"Sweet Soul Music","136"
"Karaoke - In The Style Of George Strait","134"
"Careless World: Rise Of The Last King","130"
"Bach: St John Passion, Bwv 245","130"
"Summer Waves","129"
"20 Exitos De Coleccion","120"
"Exo","119"
"Bts","119"
"The Best Of","118"
"The Definitive Collection","118"
"Best Of","115"
"Adele","113"
"Brandy","112"
"Red Hot","112"
"Tribute To Michael Jackson","110"
"Action Songs","109"
"A Tribute To Mariah Carey","106"
"Miguel","105"
"Undercover","101"
"Soul Christmas","101"
"Handel: St. John Passion & Ach Herr, Mich Armen Sünder","100"
"Nursery Rhymes For Kids","100"
"Ooo Baby Baby: The Anthlogy","100"
"Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas","100"
"Purple Noise","100"
"Black Velvet","100"
"Purple Noise Deep Sleep","100"
"Cardio House Beats","100"
"50 Calming Rain Sounds For Sleep And Relaxation","100"
"Las 20 Poderosas (Usa)","100"
"Gunna","99"
"The Whole Story","98"
"Adèle Blanc-Sec (Bande Originale Du Film)","98"
"Piano Dreamers Play The Weeknd","96"
"Feel The Real","96"
"School","93"
"Piano Tribute To Taylor Swift","93"
"Soul Music","92"
"The Very Best Of","91"
"Heartbreak On A Full Moon","90"
"Antología","90"
"Black Madonna","89"
"Exotic","89"
"School'S Out","89"
"Daft Punk Is Dead","88"
"Dawn Fm (Alternate World)","87"
"Lullaby Renditions Of Michael Jackson","84"
"Indigo (Extended)","84"
"Pink Friday ... Roman Reloaded (Deluxe)","84"
"Get Rich Or Die Trying","84"
"Quadrophenia (Super Deluxe Edition)","84"
"Smoky Mountain Christmas","83"
"Lullaby Renditions Of Taylor Swift","82"
"Kálmán: Kaiserin Josephine","82"
"Discover Music Of The Baroque Era","82"
"Lady Gaga","81"
"The Ultimate Collection","81"
"Summer Wave","80"
"Timeless","80"
"10 De Colección","80"
"Wild Child","80"
"Tesoros De Colección","80"
"Saint-Saëns: Samson Et Dalila","79"
"Alone Together","78"
"Johnny Cash","78"
"Deep Peace","77"
"A Tribute To Whitney Houston","77"
"Until The End Of Time","77"
"Verdi: Rigoletto (Live)","76"
"Handel: Messiah","76"
"I Never Liked You","76"
"Gold","76"
"Twice As Nice","76"
"Don'T Think Twice","76"
"Anthology: The Deluxe Collection (Remastered)","76"
"Lullaby Renditions Of The Weeknd","76"
"Tribute To Demi Lovato","75"
"Coleccion Original","75"
"Robin","75"
"Ultimate","75"
"Cardi B","75"
"Indigo","74"
"Christmas Jazz","73"
"Achtung Baby (30Th Anniversary Edition)","73"
"Dolly","72"
"Music To Be Murdered By - Side B (Deluxe Edition)","72"
"Hotel California (Deluxe)","72"
"Maravilloso Raphael","72"
"I Created Disco","72"
"Karaoke - In The Style Of Toby Keith","72"
"Let'S Sing The Hits Of Michael Jackson","72"
"2 Pack","72"
"Karaoke (In The Style Of Tim Mcgraw)","71"
"The Weeknd","71"
"Blackpink","70"
"Curtain Call 2","70"
"Breezy - It'S Giving Christmas","70"
"Me. I Am Mariah…The Elusive Chanteuse (Deluxe)","70"
"Taylor Swift","70"
"After Hours (Deluxe)","70"
"H.E.R.","70"
"Rosalia","70"
"Piano Dreamers Play Demi Lovato","69"
"Rules & Regulations","69"
"Pachelbel: Complete Organ Works, Vol. 2","68"
"Karaoke - Whitney Houston","68"
"Folklore: The Long Pond Studio Sessions (From The Disney+ Special) [Deluxe Edition]","68"
"Gunnar Geisse: The Wannsee Recordings","68"
"Listen Again","68"
"Carrie","68"
"A Star Is Born Soundtrack","68"
"Christmas Carols","68"
"Drive","67"
"Usher","67"
"Karaoke - In The Style Of Britney Spears","67"
"Karaoke (In The Style Of Dolly Parton)","66"
"Tha Carter V (Deluxe)","66"
"Radiohead","66"
"Prince Among Thieves","66"
"All Eyez On Me","66"
"Raven","66"
"Ogień","66"
"Grandes Éxitos","66"
"Breezy (Deluxe)","66"
"11:11","66"
"U2","66"
"A Tribute To Michael Jackson","66"
"Instrumental Hits Of Michael Jackson","66"
"Kaleidoscope","66"
"Houston","65"
"Karaoke (In The Style Of Johnny Cash)","64"
"Snoop Cube 40 $Hort","64"
"Rockstar","64"
"Karaoke (In The Style Of Mariah Carey)","64"
"Action!","64"
"Funeral (Deluxe)","64"
"Genesis","64"
"The Future","63"
"Reanimation","63"
"Levi","63"
"Delirium (Deluxe)","63"
"A Tribute To Eminem","62"
"Live At Sofi Stadium","62"
"A Tribute To Britney Spears","62"
"Queen","62"
"Slime Language 2 (Deluxe)","62"
"Love","62"
"Once Bitten Twice Shy","61"
"Revival","61"
"30 Exitos Insuperables","60"
"The Brown Album","60"
"Singles","60"
"The Essential Gary Stewart","60"
"Red (Taylor'S Version)","60"
"Get Rich Or Die Tryin'","60"
"Soul Kitchen","60"
